hotel_name,rating,review_count,hotel_category,price_inr,amenity_1,amenity_2,amenity_3,amenity_4,description,deal_label,discount_percent
"Tree of Life Highlands, Mussoorie",4.5,523,4-star hotel,11700,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
Hotel Sun N Snow Mussoorie,4.6,2879,3-star hotel,3506,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Relaxed lodging in a hill fort,,
Hotel Wild Wood by Ginseng Hotels,4.2,793,Hotel,2703,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
Madhuban Sarovar Portico Mussoorie,4.2,654,Hotel,6694,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Relaxed hotel with a restaurant & a bar,,
The Hermitage Kanatal,4.0,573,3-star hotel,6161,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Secluded resort with modest quarters,,
Hotel Paradise Mansion | Best Hotels in Mussoorie,4.2,905,3-star hotel,4361,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,,,
Starz Clarks Inn,4.4,1259,Hotel,5905,Pool,Free breakfast,Free Wi-Fi,Breakfast,Polished hotel with Doon Valley views,,
Hotel EllBee Mussoorie Hills,4.8,8426,4-star hotel,6384,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Unassuming hotel with mountain views,,
Seclude Mussoorie,4.3,376,4-star hotel,6360,Breakfast,Wi-Fi,,,·,,
Zostel Plus Mussoorie (Kempty),4.7,2283,2-star hotel,2145,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Down-to-earth adults-only hostel,GREAT DEAL,26
Treebo Premium Queen Of Hills Near Mall Road,4.4,1486,3-star hotel,2568,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Laid-back hotel with a restaurant,GREAT DEAL,44
Honeymoon Inn,4.5,748,3-star hotel,4586,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Laid-back hotel with a restaurant,,
Comfort Inn Silver Arch Mussoorie,4.1,514,3-star hotel,3413,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,Relaxed pick with a restaurant,,
Mussoorie Camp Resort,4.7,1575,3-star hotel,3248,Pool,Free parking,Free breakfast,Breakfast,,,
The Claridges Nabha Residence,4.4,776,4-star hotel,11700,Spa,Free parking,Free Wi-Fi,Air-conditioned,Opulent hotel nestled in the mountains,,
"Green n Breeze Resorts & Spa, Mussoorie",4.4,1349,4-star hotel,21500,Spa,Free parking,Free Wi-Fi,Air-conditioned,Relaxed mountain hotel with a spa,,
Sansa by the Woods - Manor & Spa,4.1,265,Resort hotel,2969,,,,,,DEAL,17
Seegreen Lodges - Homestay In Mussoorie | Best Place To Stay Near Mussoorie | Luxury Stay in Mussoorie,4.3,726,Hotel,2400,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Relaxed mountain guesthouse with a cafe,,
New Orange Tree Classic Fall Resort - Hotels in Mussoorie,4.0,1223,3-star hotel,3146,Pool,Free parking,Free Wi-Fi,Breakfast,Modest resort with adventure sports,,
HOTEL LUXMI VILAS INN,4.6,402,4-star hotel,4095,Pool,Free parking,Hot tub,Free Wi-Fi,,,
Luxury Inn by Stotrak Hotels | Best Hotel In Mussoorie With Valley View Rooms on Mall Road,4.7,967,3-star hotel,3780,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
WelcomHeritage Kasmanda Palace,4.7,353,4-star hotel,14900,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,,,
The Solitaire Resort by Lawrence Hotels,4.5,2931,4-star hotel,9387,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Relaxed hotel with dining & scenic views,,
Sunoraa Luxury Hotel and Spa,4.7,124,Hotel,1743,Free parking,Hot tub,Free Wi-Fi,Air-conditioned,,GREAT DEAL,49
Hotel Skylark by Gabrian Hotels,4.1,1274,3-star hotel,2313,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
Romeo Lane The Courtyard House,4.2,333,4-star hotel,6729,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast,,,
"Sandoz Palm Retreat, Mussoorie",4.2,358,3-star hotel,2722,Pool,Free breakfast,Free Wi-Fi,Breakfast,,,
Sandoz Minerva Boutique Resort - Mussoorie,4.1,131,Resort hotel,4427,,,,,,,
Hotel Jiva,4.4,149,3-star hotel,2794,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,,DEAL,23
Hampton Villa – Villa in Mussoorie,4.2,60,Villa,1929,,,,,,GREAT DEAL,59
Country Inn Mussoorie,4.1,724,3-star hotel,9643,Pool,Free breakfast,Breakfast,Wi-Fi,Grand hotel with mountain views,,
"Hotel Deep, Mall Road Mussoorie",4.0,1263,3-star hotel,2625,Pool,Free parking,Hot tub,Free breakfast,Casual lodging with mountain views,,
Hotel Mall Palace,4.0,1415,3-star hotel,1893,Free Wi-Fi,Wi-Fi,Parking,Airport shuttle,Straightforward hotel with a restaurant,,
HOTEL WILD SPRING - a boutique hotel,4.2,297,Hotel,2403,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
CALUX Hill Queen Mussoorie,4.0,1224,3-star hotel,2561,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Casual hotel with an outdoor pool,,
Nature's Lap - A Boutique Hotel,4.7,223,Hotel,2243,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,DEAL,21
Winterfell Stays Mussoorie,4.7,388,3-star hotel,1900,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,GREAT DEAL,30
"Everest Base Camp, Near George Everest House",4.5,400,5-star hotel,10900,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
Hotel Creek Valley Mussoorie By Ginseng Hotels,4.3,213,Hotel,2297,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
Hotel SunGrace,4.3,1372,3-star hotel,3307,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi,Simple lodging with Himalayas views,,
Hotel 30 Degree North Mussoorie,4.8,360,3-star hotel,2043,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,GREAT DEAL,41
DLS Oak Bush,4.6,2363,3-star hotel,2390,Pool,Free parking,Free breakfast,Free Wi-Fi,,GREAT DEAL,45
SL Manor Resort by Lawrence hotels,4.4,1014,Resort hotel,4404,Free parking,Air-conditioned,Breakfast,Wi-Fi,,,
Vaydantaa - Luxury Boutique Hotel Mussoorie,4.6,407,4-star hotel,5103,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,Unassuming lodging with a modest eatery,,
Casa Arhan Luxury Mussoorie Homestay,4.7,1390,3-star hotel,5400,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
Samsara Hill Resort Mussoorie,4.7,51,Resort hotel,10000,,,,,,,
Rudraksh Resort,4.6,253,Resort hotel,1260,,,,,,GREAT DEAL,41
Brownwood Resort Mussoorie,4.7,77,Resort hotel,1322,,,,,,DEAL,21
Devdar Woods Hotel,4.6,61,Hotel,16400,,,,,,,
Hotel Shivraj,4.2,471,Hotel,3283,Pool,Free parking,Free breakfast,Free Wi-Fi,,GREAT DEAL,49
"Oyster Villa, Mussoorie",4.8,295,Home Stay,20600,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,,,
Hotel Padmini Nivas,4.2,1345,4-star hotel,3538,Free breakfast,Breakfast,Wi-Fi,Parking,Cosy hotel with a vegetarian restaurant,,
Shining hills by Lawrence.,4.6,1425,3-star hotel,3069,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
The Kenilworth by Stotrak Hotels | Best Hotel on Mall Road - With Parking,4.7,519,2-star hotel,4428,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Laid-back hotel offering parking,,
"Perfectstayz Hotel The Pride, Mussoorie",4.6,1295,3-star hotel,3790,Pool,Free breakfast,Free Wi-Fi,Breakfast,Unpretentious hotel with dining,,
Jharipani Castle,4.3,1267,3-star hotel,13400,Free breakfast,Breakfast,Wi-Fi,Parking,Cosy hotel with mountain & valley views,,
Oakwood Forest Retreat,4.6,274,Hotel,3465,Free parking,Free breakfast,Free Wi-Fi,Breakfast,Relaxed hotel with dining & forest views,,
Mackenzie Luxury Boutique Stay by Quercus Oak Stays,4.6,159,Resort hotel,1954,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,GREAT DEAL,29
Pine Retreat - A Premium Heritage Property,4.5,201,Hotel,12800,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,,,
Hotel India,4.2,372,3-star hotel,2602,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Relaxed hotel with mountain views,,
Anantaa Pranaa Glamping Resort & Hotel in Mussoorie,4.7,191,4-star hotel,4835,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,Basic hotel with mountain views & dining,,
The Ved Mussoorie,4.7,50,Hotel,6374,,,,,,,
Hotel in mussoorie - Hotel Woods View By Dreams hotel,4.5,499,3-star hotel,1250,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
The Monal Hotel,4.6,135,Hotel,2417,Pool,Free parking,Free Wi-Fi,Breakfast,,,
The Punarnava Wellness resort,4.4,2088,Resort hotel,12700,Pool,Free parking,Hot tub,Free Wi-Fi,,,
"Classic Hills Villa, Mussoorie",4.4,154,Villa,2696,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
Hotel Rockland Residency,4.0,304,Hotel,2400,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,DEAL,16
The Three Oaks Boutique Hotel,4.1,333,3-star hotel,4200,Pool,Free Wi-Fi,Air-conditioned,Wi-Fi,,,
Nirvana Lodge and Lounge (A boutique hotel) Mussoorie,4.3,841,3-star hotel,3952,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,,,
Hotel Himshri Mall Road by Ovata,4.4,250,Hotel,1816,Free Wi-Fi,Breakfast,Wi-Fi,,,GREAT DEAL,61
SURBEE RESORTS MUSSOORIE,4.0,597,3-star hotel,17800,Pool,Free breakfast,Air-conditioned,Breakfast,,,
Shilton Royal,4.0,333,4-star hotel,5568,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi,Casual mountainside hotel with dining,,
Srivasa Retreat - The splendid Forest,4.8,65,Resort hotel,6633,,,,,,,
Hotel Kings Inn | Best Hotel in Mussoorie,4.6,325,4-star hotel,17000,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
Hotel JS Inn,4.0,290,3-star hotel,4691,Pool,Free breakfast,Free Wi-Fi,Air-conditioned,,,
Sky Hills Hotel,4.9,83,3-star hotel,1123,Free parking,Hot tub,Free Wi-Fi,Breakfast,,GREAT DEAL,56
Rubystone Mussoorie A Leisure Resort,4.4,75,3-star hotel,1845,Free breakfast,Breakfast,Wi-Fi,Restaurant,,,
Kasana Club Mussoorie,4.7,536,Home Stay,2495,Free parking,Free Wi-Fi,Wi-Fi,Pet-friendly,,,
Moxy Resort Mussoorie,5.0,3,Resort hotel,2666,,,,,,,
Hotel Himalayan Club,4.1,2077,2-star hotel,1711,Wi-Fi,Parking,Restaurant,,Informal hotel with dining & massage,,
Hotel North Wood,4.7,736,Hotel,3181,Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi,,,
Hotel Savoy Residency | Mussoorie ( A Budget Property),4.3,534,Hotel,2495,Free parking,Free Wi-Fi,Breakfast,Wi-Fi,Unassuming hotel with mountains views,,
"Sangam by Stotrak, Hotel in Jhula Ghar, Mussoorie",4.7,598,3-star hotel,3365,Free parking,Free breakfast,Free Wi-Fi,Breakfast,,,
